,ticker,name,website,headquarter,employees,industry,type,source
4045,HHI,Henderson High Income Trust (HHI),www.henderson.com/ukpi/fund/160/henderson-high-income-trust-plc,"201 Bishopsgate London, EC2M 3AE United Kingdom",-,Capital Markets,Closed-End,investing
4046,ARIX,Arix Bioscience PLC (ARIX),arixbioscience.com,"Duke Street House 50 Duke Street London, W1K 6JL United Kingdom",12,Capital Markets,ORD,investing
4047,POLB,Poolbeg Pharma PLC (POLB),www.poolbegpharma.com,"Queen Mary BioEnterprises Innovation Centre 42 New Road London, E1 2AX United Kingdom",-,Pharmaceuticals,ORD,investing
4048,RECIV,Real Estate Credit Investments Ltd (RECIV),www.recreditinvest.com,"Stornoway House 13 Cleveland Row London, SW1A 1HD United Kingdom",-,Thrifts & Mortgage Finance,ORD,investing
4049,UJO,Union Jack Oil plc (UJO),unionjackoil.com,"6 Charlotte Street Bath, BA1 2NE United Kingdom",4,"Oil, Gas & Consumable Fuels",ORD,investing
4050,PNIG,Pennant International Group (PNIG),www.pennantplc.co.uk,"Pennant Court Staverton Technology Park Cheltenham, GL51 6TL United Kingdom",152,Aerospace & Defense,ORD,investing
4051,CRC,Circle Property PLC (CRC),www.circleproperty.co.uk,"Standard Bank House 3rd Floor 47-49 La Motte Street Saint Helier, JE2 4SZ Jersey",-,Real Estate Management & Development,ORD,investing
4052,VTA,Volta Finance Ltd (VTA),www.voltafinance.com,"Tour Majunga La Défense 6 Place de la Pyramide Puteaux Paris, 92800 France",-,Capital Markets,ORD,investing
4053,MTWL,Mattioli Woods (MTWL),www.mattioliwoods.com,"1 New Walk Place Leicester, LE1 6RU United Kingdom",663,Capital Markets,ORD,investing
4054,WBI,Woodbois Ltd (WBI),www.woodbois.com,"118 Piccadilly Mayfair London, W1J 7NW United Kingdom",260,Paper & Forest Products,ORD,investing
4055,PBEE,Pensionbee Group PLC (PBEE),www.pensionbee.com,"City Place House 55 Basinghall Street London, EC2V 5DX United Kingdom",102,Capital Markets,ORD,investing
4056,BIDS,Bidstack Group PLC (BIDS),bidstackgroup.com,"201 Temple Chambers 3-7 Temple Avenue London, EC4Y 0DT United Kingdom",69,Media,ORD,investing
4057,CODE,Northcoders Group PLC (CODE),www.northcodersgroup.com,"Manchester Technology Centre 103 Oxford Road Manchester, M1 7ED United Kingdom",-,Diversified Consumer Services,ORD,investing
4058,PPTC,President Energy Plc (PPTC),www.presidentenergyplc.com,"Carrwood Park Selby Road Leeds, LS15 4LG United Kingdom",63,"Oil, Gas & Consumable Fuels",ORD,investing
