,name,title,company_ticker,source
70,Mr. John W. Hague,Exec. VP of Operations,AZPN,yahoo
71,Mr. Fabian S. Dee,Pres & Exec. Director,MTPOY,yahoo
72,Ms. Sonia Syngal,"CEO, Pres & Director",GPS,yahoo
73,Mr. Jason M. Montague,Pres & CEO of Regent Seven Seas Cruises,NCLH,yahoo
74,Mr. Frederic G. Hammond,"Sr. VP, Gen. Counsel & Sec.",AZPN,yahoo
75,Jose Miguel T. Manalang,Director of Strategy & Investor Relations,UVRBF,yahoo
76,Ms. Liz Rose,Group HR Director,IMIAF,yahoo
77,Mr. Martin J. Lyons Jr.,Chairman & Pres,UEPEN,yahoo
78,Mr. Joshua E. Naing,Head of the Financial & Control Sector and Sr. EVP,MTPOY,yahoo
79,Ms. Katrina O'Connell,Exec. VP & CFO,GPS,yahoo
80,Ms. Faye L. Ashby,Sr. VP & Chief Accounting Officer,NCLH,yahoo
81,Mr. Christopher Stagno CPA,Sr. VP & Chief Accounting Officer,AZPN,yahoo
82,Mr. Magnus Ahlqvist,Pres & CEO,SCTBF,yahoo
83,Ms. Rhodora T. Lao,Corp. Controller and Chief Compliance & Risk Officer,UVRBF,yahoo
84,Mr. Jackie Hu,Divisional Managing Director of IMI Critical Engineering,IMIAF,yahoo
85,Mr. Michael L. Moehn,"Exec. VP, CFO & Director",UEPEN,yahoo
86,Mr. Chris O'Shea,Group Chief Exec. & Director,CPYYF,yahoo
87,Mr. Paul Robert Y. Murga,Exec. VP & Head of Operations Group,MTPOY,yahoo
88,Ms. Julie Gruber,"Exec. VP, Chief Legal & Compliance Officer and Corp. Sec.",GPS,yahoo
89,Mr. Andreas Lindback,Chief Financial Officer,SCTBF,yahoo
90,Mr. Scott J. Medhurst,"CEO, Pres & Director",TMTNF,yahoo
91,Ms. Jessica John,"VP of Investor Relations, Corp. Communications & ESG",NCLH,yahoo
92,Mr. Willie K. Chan,Chief Technology Officer,AZPN,yahoo
93,Mr. Fadi M. Diya,"Sr. VP, Chief Nuclear Officer & Director",UEPEN,yahoo
94,Attorney Elvin Michael L. Cruz,Corp. Legal Counsel,UVRBF,yahoo
95,Ms. Minda Claver A. Olonan,FVP & Head of Investor Relations,MTPOY,yahoo
96,Mr. Mike Semens-Flanagan,Chief Technology Officer at IMI Critical Engineering,IMIAF,yahoo
97,Ms. Kate Ringrose,Group CFO & Exec. Director,CPYYF,yahoo
98,Mr. Shunqiang Zhao,Exec. Chairman & CEO,CHOLF,yahoo
99,Mr. Michael Stanley Howie McMillan,Exec. VP & CFO,TMTNF,yahoo
100,Mr. Mark Breitbard,Pres & CEO of Gap Brand,GPS,yahoo
101,Mr. Martin Alth̩n,Chief Information Officer,SCTBF,yahoo
102,Mr. Glover H. Lawrence,Sr. VP of Corp. Devel.,AZPN,yahoo
103,Mr. Nishan J. Vartanian,"Chairman, Pres & CEO",MSA,yahoo
104,Mr. Daniel S. Farkas,"Exec. VP, Gen. Counsel & Assistant Sec.",NCLH,yahoo
105,Ms. Maria MacGregor Pope,"Pres, CEO & Director",POR,yahoo
106,Mr. Ian Andrew Johnson,Chief Financial Officer of IMI Critical Engineering,IMIAF,yahoo
107,Ms. Bhavani Amirthalingam,Sr. VP & Chief Digital Information Officer of Ameren Services,UEPEN,yahoo
108,Mr. Arnulfo Brillantes Pascioles Jr.,Head of Compliance Division,MTPOY,yahoo
109,Ms. Anne Patricia C. Go,VP for Advter. & Marketing Services,UVRBF,yahoo
110,Ms. Lisa Micaela Sjokvist,Head of Investor Relations & Acting Sr. VP of Corp. Communications,SCTBF,yahoo
111,Mr. Yonggang Zheng,Chief Financial Officer,CHOLF,yahoo
112,Mr. Alex Xiang,Managing Director of China operations,NCLH,yahoo
113,Ms. Nancy Green,Pres & CEO of Old Navy,GPS,yahoo
114,Mr. Kenneth D. Krause,"Sr. VP, CFO & Treasurer",MSA,yahoo
115,Martyn Espley,Head of Investor Relations,CPYYF,yahoo
116,Mr. Phil Clifton,Divisional Managing Director of IMI Hydronic Engineering,IMIAF,yahoo
117,Mr. Hierbert A. Dimagiba,"Chief Marketing Officer, SVP and Head of Analytics, Brand, Communications & Marketing Technology",MTPOY,yahoo
118,Ms. Frida Rosenholm,"Sr. VP, Gen. Counsel and Group Legal, Risk & Bus. Ethics",SCTBF,yahoo
119,Mr. John Teeruk Kochavatr,VP of Information Technology & Chief Information Officer,POR,yahoo
120,Mr. Kevin D. Anders,VP of Operations & Technical Services,UEPEN,yahoo
121,Mr. Lawrence Schwartz,Sr. VP & Chief Marketing Officer,AZPN,yahoo
122,Mr. John F. Strain,Chief Digital & Technology Officer,GPS,yahoo
123,Mr. Laurent Levan,Sr. VP of Corp. Devel. & External Affairs,UVRBF,yahoo
124,Mr. David Herrera,Sr. VP of Strategy & Corp. Devel.,NCLH,yahoo
125,Mr. Michael P. Cuddy,Chief Information Officer & VP,TMTNF,yahoo
126,Tao Lu,VP and Gen. Legal Counsel,CHOLF,yahoo
127,Ms. Stephanie L. Sciullo,VP & Chief Legal Officer,MSA,yahoo
128,Mr. Homer Gerrard-L. Ortega,Sr. VP & Head of HR Management Group,MTPOY,yahoo
129,Mr. Bruce A. Steinke,Sr. VP of Fin. & Chief Accounting Officer,UEPEN,yahoo
130,Ms. Lisa Ann Kaner,"VP, Gen. Counsel & Corp. Compliance Officer",POR,yahoo
131,Ms. Elisa O. Abalajon,Chief HR Officer,UVRBF,yahoo
132,Ms. Beth Ferreira,Divisional Managing Director of IMI Precision Engineering Division,IMIAF,yahoo
133,Mr. Raj Roy,Group Gen. Counsel & Company Sec.,CPYYF,yahoo
134,Mr. Meisheng Qi,Exec. Director,CHOLF,yahoo
135,Mr. Patrick Henry C. Go,Exec. VP & Director,UVRBF,yahoo
136,"Ms. Jill Shedden M.B.E., MBE",Group Director of HR,CPYYF,yahoo
137,Mr. Douglas A. Fischer,"Sr. Director, Investor Relations",UEPEN,yahoo
138,Mr. Aniceto Mangahas Sobrepe̱a,Exec. Vice-Pres,MTPOY,yahoo
139,Mr. Stephen Howard Kramer,"CEO, Pres & Director",BFAM,yahoo
140,Ms. Nina Bhatia,Managing Director of Connected Homes,CPYYF,yahoo
141,Carin Andersson,Group Head of Communications,SCTBF,yahoo
142,Mr. Eligio Cari̱o Labog Jr.,Head of Commercial Banking Group and Exec. VP,MTPOY,yahoo
143,Dexing Yang,VP and Safety Director,CHOLF,yahoo
144,Ms. Chonda J. Nwamu Esq.,"Sr. VP, Gen. Counsel, Sec. & Director",UEPEN,yahoo
145,Mr. Fermin Tan Chio,Sr. VP,MTPOY,yahoo
146,Ms. Elizabeth J. Boland,Chief Financial Officer,BFAM,yahoo
147,Mr. Steven C. Blanco Sr.,VP & Pres of Americas,MSA,yahoo
148,Ms. Cathryn Halton,Marketing and Communications Director,SCTBF,yahoo
149,Mr. Mark C. Birk,Sr. VP of Customer & Power Operations and Director,UEPEN,yahoo
150,Mr. Chris Cox,Managing Director of Exploration & Production,CPYYF,yahoo
151,Mr. James A. Ajello,"Sr. VP of Fin., CFO & Treasurer",POR,yahoo
152,Mr. Skip Maloney,Sr. VP & Chief HR Officer,AZPN,yahoo
153,Mr. Steve Austenfeld,Head of Investor Relations,GPS,yahoo
154,Mr. Miles Sean Ryan Gregg,Pres of Toromont Cat Construction,TMTNF,yahoo
155,Mr. John G. Casagrande,Gen. Counsel & Sec.,BFAM,yahoo
156,Mr. Bob Willem Leenen,VP & Pres of MSA International,MSA,yahoo
157,Mr. Timothy E. Herrmann,"Sr. VP of Corp. Safety, Security & Operations Oversight",UEPEN,yahoo
158,Ms. Helena Andreas,Sr. VP of Group Communications & People,SCTBF,yahoo
159,Mr. Eddy Collier,Global Head of Bus. Devel.,CPYYF,yahoo
160,Ms. Michele Triponey,Exec. VP of Field Operations & Chief Customer Success Officer,AZPN,yahoo
161,Jardon Jaramillo,"Sr. Director of Investor Relations, Treasury and Risk Management",POR,yahoo
162,Ms. Sheila Peters,Exec. VP & Chief People Officer,GPS,yahoo
163,Ms. Lynn M. Korbak,Gen. Counsel & Corp. Sec.,TMTNF,yahoo
164,Ms. Maribeth Nash Bearfield,Chief HR Officer,BFAM,yahoo
165,Mr. Jonathan D. Buck,Corp. Controller & Chief Accounting Officer,MSA,yahoo
166,Mr. William Barthelemy,Advisor,SCTBF,yahoo
167,Mr. Carl Bayliss,Head of Mobility & Home Energy Management,CPYYF,yahoo
168,Mr. William David Robertson,VP of Public Affairs,POR,yahoo
169,Mr. Thomas J. Lima,Sr. VP & Gen. Counsel,GPS,yahoo
170,Mr. David Alan Malinauskas,Pres of CIMCO Refrigeration,TMTNF,yahoo
171,Ms. Mary Lou Burke-Afonso,Chief Operating Officer of North America Center Operations,BFAM,yahoo
172,Mr. Bart Adam,Strategic Advisor,SCTBF,yahoo
173,Mr. Markus H. Weber,Chief Information Officer & VP,MSA,yahoo
174,Jim Rushen,Group Head of Environment,CPYYF,yahoo
175,Ms. Anne Frances Mersereau,"VP of HR, Diversity, Equity & Inclusion",POR,yahoo
176,Dr. Tammy Chuprevich,Sr. VP of Operations,BFAM,yahoo
177,Ms. Elyse Lorenzato CPA,Director of Investor Relations,MSA,yahoo
178,Mr. Colin Goheen,Pres of Battlefield Equipment Rentals,TMTNF,yahoo
179,Mr. John Carter McFarland,VP of Customer Solutions & Chief Customer Officer,POR,yahoo
180,Mark Deasy,Director of PR & Strategic Communications,MSA,yahoo
181,Mr. Jason R. Janoff,Chief Accounting Officer,BFAM,yahoo
182,Ms. Nora E. Arkonovich,Corp. Sec.,POR,yahoo
183,Michael Flanagan,Sr. Director of Investor Relations,BFAM,yahoo
184,Mr. David B. McArthur,VP of Global Marketing & Chief Customer Officer,MSA,yahoo
185,Christopher Liddle,Controller & Assistant Treasurer,POR,yahoo
186,Mr. Timothy James Mattke,CEO & Director,MTG,yahoo
187,Ilene Serpa,VP of Communications,BFAM,yahoo
188,Mr. Salvatore Antonino Miosi,Pres & COO,MTG,yahoo
189,"Mr. Chi Keung To ACGI, B.Sc., BSc, M.B.A., MBA",Exec. Chairman,HCM,yahoo
190,Mr. Danroy T. Henry Sr.,Chief Culture Officer,BFAM,yahoo
191,Mr. Nathaniel Howe Colson,Exec. VP & CFO,MTG,yahoo
192,"Mr. Christian Hogg B.Sc., BSc, M.B.A., MBA",CEO & Exec. Director,HCM,yahoo
193,Mr. Stefan Rudolf Fuchs,Chairman of Exec. Board & CEO,FUPBY,yahoo
194,Mr. Hua Li,"Founder, Chairman & CEO",FUTU,yahoo
195,Mr. Tomer Bar-Zeev,"Co-Founder, Chairman & CEO",IS,yahoo
196,Ms. Paula Christine Maggio,"Exec. VP, Gen. Counsel & Sec.",MTG,yahoo
197,Mr. Andrew T. Harding MBA,"MD, CEO & Director",AZNNY,yahoo
198,"Mr. Johnny Cheng C.A., BEc, CA",CFO & Exec. Director,HCM,yahoo
199,Ms. Dagmar Steinert,CFO & Member of Exec. Board,FUPBY,yahoo
200,Mr. Yu Chen,Chief Financial Officer,FUTU,yahoo
201,Mr. Masahiro Otake,"Chairman, CEO & Corp. Officer",KOTMY,yahoo
202,Mr. Arnon Harish,"Co-Founder, Pres & Director",IS,yahoo
203,Mr. George Lippiatt,CFO & Group Exec. Strategy,AZNNY,yahoo
204,"Dr. Weiguo Su B.Sc., Ph.D.","Chief Scientific Officer, Exec. VP & Exec. Director",HCM,yahoo
205,Mr. James Jeffrey Hughes,Exec. VP of Sales & Bus. Devel. - Mortgage Guaranty Insurance Corp.,MTG,yahoo
206,Dr. Ralph Rheinboldt,Head of EMEA & Member of Exec. Board,FUPBY,yahoo
207,Mr. Daniel Yuan,Chief of Staff & Head of Investor Relations,FUTU,yahoo
208,Dr. Lutz Lindemann,CTO & Member of the Exec. Board,FUPBY,yahoo
209,"Ms. Edith Shih C.S., CGP, FCS, M.A., P.E., BSE, MA, EdM, Solicito",Company Sec. & Non-Exec. Director,HCM,yahoo
210,Ms. Ching-Yee Joey Poon,Head of Compliance,FUTU,yahoo
211,Ms. Pam Bains,Group Exec. Network,AZNNY,yahoo
212,Mr. Ralph Lauren,Exec. Chairman & Chief Creative Officer,RL,yahoo
213,Mr. Takashi Ohtake,Sr. Adviser & Director,KOTMY,yahoo
214,Ms. Julie Kay Sperber,"VP, Controller & Chief Accounting Officer",MTG,yahoo
215,Mr. Michiaki Kato,"Pres, COO & Director",KOTMY,yahoo
216,Mr. Patrice Jean Louis Louvet,"Pres, CEO & Director",RL,yahoo
217,Mr. Katsuyuki Kusakawa,"SMD of Engg. Headquarters Planning, Compliance, Cost Admin., Mobility Strategy Dept., & Director",KOTMY,yahoo
218,Dr. Timo Reister,"Head of Asia-Pacific, North & South America and Member of Exec. Board",FUPBY,yahoo
219,Mr. Li Xu,Sr. VP,FUTU,yahoo
220,Mr. Amir Aghdaei,"Pres, CEO & Director",NVST,yahoo
221,Mr. Ed McKeiver,Group Exec. of Coal,AZNNY,yahoo
222,Mr. Tamir Carmi,Co-Founder & COO,IS,yahoo
223,Mr. Michael J. Zimmerman,Sr. VP of Investor Relations,MTG,yahoo
224,Mr. David Lauren,"Vice Chairman, Chief Innovation Officer & Strategic Advisor to the CEO",RL,yahoo
225,Mr. Howard H. Yu,Sr. VP & CFO,NVST,yahoo
226,Mr. Lutz Ackermann,Head of Investor Relations,FUPBY,yahoo
227,Mr. Yuji Yokoya,Adviser,KOTMY,yahoo
228,Dr. Karen Atkin,Exec. VP & COO,HCM,yahoo
229,Mr. Christopher L. Vagg,Head of Investor Relations & Group Treasurer,AZNNY,yahoo
230,Mr. Eyal Milrad,"Co-Founder, Chief Strategy Officer & Director",IS,yahoo
231,Ms. Annette M. Adams,Sr. VP & Chief HR Officer,MTG,yahoo
232,Ms. Jane Hamilton Nielsen,CFO & COO,RL,yahoo
233,Mr. Jun Toyota,Sr. Managing Director & Director,KOTMY,yahoo
234,Mr. Mark E. Nance,"Sr. VP, Gen. Counsel & Sec.",NVST,yahoo
235,Mr. David Wenck,"Head of Legal, Group Gen. Counsel & Company Sec.",AZNNY,yahoo
236,Mr. Mark Lee,Sr. VP of Corp. Fin. & Devel.,HCM,yahoo
237,Mr. Alf Untersteller,"Head of Turkey, Middle East, Central Asia & Africa",FUPBY,yahoo
238,Mr. Nathan Ryan Abramowski,VP & Treasurer,MTG,yahoo
239,Mr. Omer Kaplan,Co-Founder & Chief Revenue Officer,IS,yahoo
240,Mr. Andrew Howard Smith,Exec. VP & Chief Commercial Officer,RL,yahoo
241,Mr. Kenji Arima,"Exec. VP of Engg. Headquarters Mobility Strategy Dept., Research & Dev. and Director",KOTMY,yahoo
242,Mr. Klaus Hartig,Head of East Asia,FUPBY,yahoo
243,Mark Hairsine,Mang. of Media & Communications,AZNNY,yahoo
244,Mr. Richard Paul McKenney,"Pres, CEO & Director",UNM,yahoo
245,Mr. Charles Nixon,Group Gen. Counsel,HCM,yahoo
246,Ms. Janet M. Sherlock,Chief Information Officer,RL,yahoo
247,Mr. Hideharu Konagaya,"Sr. MD of Fin. & Accounting Headquarters, Purchasing Dept and Director",KOTMY,yahoo
248,Brian M. Remington,VP & Assistant Sec.,MTG,yahoo
249,James Coe,Mang. of Market Intelligence & Sustainability,AZNNY,yahoo
250,Mr. Jean-Claude E. Kyrillos,Sr. VP and Pres of KaVo & DTX,NVST,yahoo
251,Mr. Bernhard Biehl,Head of LUBRITECH Division,FUPBY,yahoo
252,Mr. Assaf Ben-Ami CPA,Chief Financial Officer,IS,yahoo
253,Mr. Steven Andrew Zabel,Exec. VP & CFO,UNM,yahoo
254,Mr. Andrew Shih,Sr. VP of HR - Organization & Leadership Devel.,HCM,yahoo
255,Mr. Patrik Eriksson,Sr. VP & Pres of Nobel Biocare,NVST,yahoo
256,Mr. Daniel Amir,VP of Investor Relations,IS,yahoo
257,Ms. Naomi Wecker,Additional & Deputy Company Sec.,AZNNY,yahoo
258,Mr. Man Cho,Pres & Exec. Director,SHPMY,yahoo
259,Mr. Michael Quinn Simonds,Exec. VP & COO,UNM,yahoo
260,Mr. Reiner Schmidt,"Head of Fin., Controlling & Investor Relations",FUPBY,yahoo
261,Mr. Masami Uchiyama,"Sr. MD of Prod Headquarters Logistics, Safety Env, Control, Electronics Products Dept & Director",KOTMY,yahoo
262,Dr. May Wang,Sr. VP of Bus. Devel. & Strategic Alliances,HCM,yahoo
263,Ms. Corinna Van der Ghinst,VP of Investor Relations,RL,yahoo
264,Kari-Lyn Moore,VP & Chief Accounting Officer,NVST,yahoo
265,Mr. Bo Shen,"CFO, VP, Head of the Accounting Department & Exec. Director",SHPMY,yahoo
266,Ms. Dalia Litay,Gen. Counsel,IS,yahoo
267,Lowana Riddiford,Warehouse Logistics Coordinator,AZNNY,yahoo
268,"Ms. Lisa Gonzalez Iglesias CPA, J.D.",Exec. VP & Gen. Counsel,UNM,yahoo
269,Mr. Yongzhong Li,VP & Exec. Director,SHPMY,yahoo
270,Mr. Atsushi Inoue,Managing Corp. Officer Corp. Planning Department Gen. Affairs Department & Director,KOTMY,yahoo
271,Mr. John C. Moten,VP of Investor Relations,NVST,yahoo
272,Mr. Avery S. Fischer,"Exec. VP, Gen. Counsel & Sec.",RL,yahoo
273,Mr. Timothy Gerald Arnold,Exec. VP of Voluntary Benefits & Pres of Colonial Life,UNM,yahoo
274,Ms. Mellisa Zeloof,VP of Marketing,IS,yahoo
275,Dr. Jinzhu Chen Ph.D.,"VP, Sec. of Board & Joint Company Sec.",SHPMY,yahoo
276,Mr. Mischa M. Reis,Sr. VP of Strategy & Corp. Devel.,NVST,yahoo
277,"Ms. Martha Davies Leiper C.F.A., CFA",Exec. VP & Chief Investment Officer,UNM,yahoo
278,Mr. Jonathan Bottomley,Chief Marketing Officer,RL,yahoo
279,Ms. Cherie Antoinette Pashley,Sr. VP & Chief Accounting Officer,UNM,yahoo
280,Ms. Dana Primo Gershon,VP of People,IS,yahoo
281,Roseann Lynch,Exec. VP and Chief People & Global Human Rights Officer,RL,yahoo
282,Mr. Puneet Bhasin,Exec. VP and Chief Information & Digital Officer,UNM,yahoo
283,Mr. Curt W. Bludworth,Sr. VP & Chief HR Officer,NVST,yahoo
284,Mr. Haoliang Gu,VP,SHPMY,yahoo
285,Mr. Thomas A. H. White,Sr. VP of Investor Relations,UNM,yahoo
286,Mr. Filippo Impieri,Sr. VP of Special Markets,NVST,yahoo
287,Mr. Yaohua Zhang,VP,SHPMY,yahoo
288,Ms. Elizabeth A. Claire Ahmed,Exec. VP of People & Communication,UNM,yahoo
289,Mr. John Fieldly,"Pres, CEO & Chairman",CELH,yahoo
290,Ms. Shui Bing Leung A.C.S.,Joint Company Sec.,SHPMY,yahoo
291,Mr. Edwin F. Negron-Carballo,Chief Financial Officer,CELH,yahoo
292,Jinqi Yu,Gen. Mang.,SHPMY,yahoo
293,Ms. Sandy Telsaint,VP of Operations,CELH,yahoo
294,Ying Ke,Director & Gen. Mang. of R&D Management Center,SHPMY,yahoo
295,Mr. Paul Storey,Sr. VP of Operations,CELH,yahoo
296,Mr. Cameron Donahue,Investor Relations,CELH,yahoo
297,Mr. Marcus Sandifer,"VP of Bus. & Legal Affairs, Gen. Counsel and Corp. Sec.",CELH,yahoo
298,Ms. Kyle Watson,VP of Marketing,CELH,yahoo
299,Mr. Thorsten Brandt,Sr. VP of Global Marketing,CELH,yahoo
300,Mr. James D. Rollins III,Chairman & CEO,CADE,yahoo
301,Ms. Nancy C. Southern,Exec. Chair & CEO,CDUAF,yahoo
302,Mr. Todd A. Adams,"Pres, CEO & Chairman",ZWS,yahoo
303,Mr. Dekang Gao,"Founder, Chairman, Pres & CEO",BSDGF,yahoo
304,Mr. Jon McKillop,Exec. VP of Sales for North America,CELH,yahoo
305,Mr. Christopher A. Bagley,Pres,CADE,yahoo
306,Sir Martin S. Sorrell,Exec. Chairman,SCPPF,yahoo
307,Mr. Marshall F. Wilmot,Pres of Retail & Chief Digital Officer,CDUAF,yahoo
308,Dr. Rathian Srimongkol M.D.,"CEO, Pres & Director",KGTHY,yahoo
309,Mr. Mark W. Peterson,Sr. VP & CFO,ZWS,yahoo
310,Ms. Dong Mei,Exec. Pres & Exec. Director,BSDGF,yahoo
311,Mr. Ronnie Char,Managing Director of Asia,CELH,yahoo
312,Mr. Brian P. Shkrobot,Exec. VP & CFO,CDUAF,yahoo
313,Mr. Charles J. Pignuolo,Chief Legal Officer,CADE,yahoo
314,Mr. Peter Rademaker,Group CFO & Exec. Director,SCPPF,yahoo
315,Mr. Chutidej Chayuti,Chief Financial Officer,KGTHY,yahoo
316,Mr. George J. Powers,Chief HR Officer,ZWS,yahoo
317,Mr. Jinsong Rui,Sr. VP & Exec. Director,BSDGF,yahoo
318,Mr. Michael John Meyer,Pres of Banking Services,CADE,yahoo
319,Mr. Wesley ter Haar,Exec. Director,SCPPF,yahoo
320,Mr. Eric Rondolat,Chairman of Management & CEO,PHPPY,yahoo
321,Mr. Alan M. Skiffington,VP & Chief Information Officer,CDUAF,yahoo
322,Mr. Virach Paisitsavet,Chief Operations Officer,KGTHY,yahoo
323,Mr. Craig G. Wehr,Group Exec. & Pres of Zurn,ZWS,yahoo
324,Mr. Andrey Andreevich Guryev,"Chairman of the Management Board, CEO & Director",PHOJY,yahoo
325,Ms. Qiaolian Huang,VP & Exec. Director,BSDGF,yahoo
326,Mr. Paul B. Murphy Jr.,Exec. Vice Chairman,CADE,yahoo
327,Mr. Victor Knaap,Exec. Director,SCPPF,yahoo
328,Mr. Yosuke Matsuda,Pres & Chairman,SQNXF,yahoo
329,Mr. Mikhail Konstantinovich Rybnikov,"COO, Member of Management Board & Exec. Director",PHOJY,yahoo
